subnet_address;subnet_mask;subnet_last;subnet_gw;subnet_desc;subnet_domain;subnet_org;subnet_area;subnet_vlan;subnet_vdp;subnet_zone;subnet_color;subnet_sec;subnet_poll;subnet_alarm;subnet_report;date_added;date_seen;date_checked
010.162.062.000;255.255.255.0;010.162.062.255;010.162.062.254;Zuerich ETH ext. POM;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:12
010.162.068.000;255.255.255.252;010.162.068.003;undef;Zuerich Berninapark ext. POM Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:14
010.162.070.000;255.255.255.0;010.162.070.255;010.162.070.254;Zuerich Berninapark ext. POM;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:14
010.162.072.000;255.255.255.252;010.162.072.003;undef;Einsiedeln PM Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:16
010.162.072.008;255.255.255.252;010.162.072.011;undef;Einsiedeln PM Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;---;1;0;0;2018-01-19 01:30:02;2019-02-08 01:40:12;2019-02-07 16:17:17
010.162.072.016;255.255.255.240;010.162.072.031;undef;Einsiedeln PM Transit-Sunrise;zh.post.ch;RSP-Zuerich;postnet;0900;post.ch;undef;gray;undef;0;0;0;2018-03-21 01:30:03;2019-02-08 01:40:12;0000-00-00 00:00:00
010.162.073.000;255.255.255.0;010.162.073.255;010.162.073.254;Einsiedeln PM IPT;zh.post.ch;RSP-Zuerich;postnet;0680;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:17
010.162.074.000;255.255.255.0;010.162.074.255;010.162.074.254;Einsiedeln PM Client;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:23
010.162.075.000;255.255.255.240;010.162.075.015;010.162.075.014;Einsiedeln PM AP;zh.post.ch;RSP-Zuerich;postnet;0610;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:28
010.162.080.004;255.255.255.252;010.162.080.007;undef;Zuerich58 Term A. ext. POM Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:28
010.162.082.000;255.255.255.0;010.162.082.255;010.162.082.254;Zuerich58 Term A ext. POM;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;undef;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:29
010.162.088.000;255.255.255.252;010.162.088.003;undef;Dietikon PF_PV Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;---;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:31
010.162.088.008;255.255.255.252;010.162.088.011;undef;Dietikon PF_PV Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;---;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:32
010.162.088.016;255.255.255.240;010.162.088.031;undef;Dietikon PF_PV Transit;zh.post.ch;RSP-Zuerich;postnet;0900;post.ch;undef;gray;---;0;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2015-11-11 17:31:27
010.162.088.192;255.255.255.240;010.162.088.207;010.162.088.206;Dietikon PF_PV Zuko;zh.post.ch;RSP-Zuerich;postnet;0646;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:32
010.162.089.000;255.255.255.0;010.162.089.255;010.162.089.254;Dietikon PF_PV IPT;zh.post.ch;RSP-Zuerich;postnet;0680;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:33
010.162.090.000;255.255.255.0;010.162.090.255;010.162.090.254;Dietikon PF_PV Client;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:36
010.162.091.000;255.255.255.240;010.162.091.015;010.162.091.014;Dietikon PF_PV AP;zh.post.ch;RSP-Zuerich;postnet;0610;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:37
010.162.092.000;255.255.255.252;010.162.092.003;undef;Zuerich Limmatstr.231 ext. POM PV Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;---;1;0;0;2016-09-29 01:30:03;2019-02-08 01:40:12;2019-02-07 16:17:38
010.162.094.000;255.255.255.0;010.162.094.255;010.162.094.254;Zuerich Limmatstr.231 ext. POM;zh.post.ch;RSP-Zuerich;postnet;0600;post.ch;undef;white;---;1;1;1;2016-09-29 01:30:03;2019-02-08 01:40:12;2019-02-07 16:17:38
010.162.100.192;255.255.255.240;010.162.100.207;010.162.100.206;Rapperswil (SG) Zuko;zh.post.ch;RSP-Zuerich;postnet;0646;post.ch;undef;white;---;1;1;1;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:40
010.162.104.000;255.255.255.252;010.162.104.003;undef;Pfaeffikon (SZ) ext. POM Loopback;zh.post.ch;RSP-Zuerich;postnet;undef;undef;undef;gray;undef;1;0;0;0000-00-00 00:00:00;2019-02-08 01:40:12;2019-02-07 16:17:41
