Liste;No;unknown;Act;Domain;;;;;
BcAuthWhitelist2;1551799275;unknown;Add;e-payment.postfinance.ch;hc.ecnaniftsop.tnemyap-e;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pfportalext.postfinance.ch;hc.ecnaniftsop.txelatropfp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pfportalext.postfinance.ch;hc.ecnaniftsop.txelatropfp;;;;
BcAuthWhitelist2;1551799341;unknown;Add;pfportalext.postfinance.ch;hc.ecnaniftsop.txelatropfp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pfportalext.postfinance.ch;hc.ecnaniftsop.txelatropfp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.postfinance.ch;hc.ecnaniftsop.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;www.postfinance.ch;hc.ecnaniftsop.www;;;;
BcAuthWhitelist2;1551799275;unknown;Add;smartcommerce.ch;hc.ecremmoctrams;;;;
BcNoSSLIntercept;1551799341;unknown;Add;swisslife.ch;hc.efilssiws;;;;
BcAuthWhitelist;1551799341;unknown;Add;pol.b2b.ge.ch;hc.eg.b2b.lop;;;;
BcPostWhitelist;1551799341;unknown;Add;pol.b2b.ge.ch;hc.eg.b2b.lop;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pol.b2b.ge.ch;hc.eg.b2b.lop;;;;
BcAuthWhitelist;1551799341;unknown;Add;test.b2b.ge.ch;hc.eg.b2b.tset;;;;
BcPostWhitelist;1551799341;unknown;Add;test.b2b.ge.ch;hc.eg.b2b.tset;;;;
BcNoSSLIntercept;1551799341;unknown;Add;test.b2b.ge.ch;hc.eg.b2b.tset;;;;
BcAuthWhitelist2;1551799275;unknown;Add;google.ch;hc.elgoog;;;;
BcAuthWhitelist2;1551799275;unknown;Add;picasaweb.google.ch;hc.elgoog.bewasacip;;;;
BcAuthWhitelist2;1551799275;unknown;Add;registry.ose3.puzzle.ch;hc.elzzup.3eso.yrtsiger;;;;
BcAuthWhitelist;1551799341;unknown;Add;aoprod.lausanne.ch;hc.ennasual.dorpoa;;;;
BcUntrustedIssuerList;1551799341;unknown;Add;aoprod.lausanne.ch;hc.ennasual.dorpoa;;;;
BcProtocolDetection;1551799341;unknown;Add;aoprod.lausanne.ch;hc.ennasual.dorpoa;;;;
BcNoSSLIntercept;1551799341;unknown;Add;aoprod.lausanne.ch;hc.ennasual.dorpoa;;;;
BcAuthWhitelist;1551799341;unknown;Add;cxvali.lausanne.ch;hc.ennasual.ilavxc;;;;
BcUntrustedIssuerList;1551799341;unknown;Add;cxvali.lausanne.ch;hc.ennasual.ilavxc;;;;
BcProtocolDetection;1551799341;unknown;Add;cxvali.lausanne.ch;hc.ennasual.ilavxc;;;;
BcNoSSLIntercept;1551799341;unknown;Add;cxvali.lausanne.ch;hc.ennasual.ilavxc;;;;
BcAuthWhitelist;1551799341;unknown;Add;aotest.lausanne.ch;hc.ennasual.tsetoa;;;;
BcUntrustedIssuerList;1551799341;unknown;Add;aotest.lausanne.ch;hc.ennasual.tsetoa;;;;
BcProtocolDetection;1551799341;unknown;Add;aotest.lausanne.ch;hc.ennasual.tsetoa;;;;
BcNoSSLIntercept;1551799341;unknown;Add;aotest.lausanne.ch;hc.ennasual.tsetoa;;;;
BcAuthWhitelist;1551799275;unknown;Add;pbp-t01.sunrise.ch;hc.esirnus.10t-pbp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pbp-t01.sunrise.ch;hc.esirnus.10t-pbp;;;;
BcAuthWhitelist;1551799341;unknown;Add;pbp-t01.sunrise.ch;hc.esirnus.10t-pbp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pbp-t01.sunrise.ch;hc.esirnus.10t-pbp;;;;
BcAuthWhitelist;1551799341;unknown;Add;esig-t02.sunrise.ch;hc.esirnus.20t-gise;;;;
BcNoSSLIntercept;1551799341;unknown;Add;esig-t02.sunrise.ch;hc.esirnus.20t-gise;;;;
BcAuthWhitelist;1551799341;unknown;Add;esign-t02.sunrise.ch;hc.esirnus.20t-ngise;;;;
BcNoSSLIntercept;1551799341;unknown;Add;esign-t02.sunrise.ch;hc.esirnus.20t-ngise;;;;
BcAuthWhitelist;1551799275;unknown;Add;pbp-t03.sunrise.ch;hc.esirnus.30t-pbp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pbp-t03.sunrise.ch;hc.esirnus.30t-pbp;;;;
BcAuthWhitelist;1551799341;unknown;Add;pbp-t03.sunrise.ch;hc.esirnus.30t-pbp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pbp-t03.sunrise.ch;hc.esirnus.30t-pbp;;;;
BcAuthWhitelist;1551799341;unknown;Add;esig.sunrise.ch;hc.esirnus.gise;;;;
BcNoSSLIntercept;1551799341;unknown;Add;esig.sunrise.ch;hc.esirnus.gise;;;;
BcAuthWhitelist;1551799341;unknown;Add;esign.sunrise.ch;hc.esirnus.ngise;;;;
BcNoSSLIntercept;1551799341;unknown;Add;esign.sunrise.ch;hc.esirnus.ngise;;;;
BcAuthWhitelist;1551799275;unknown;Add;pbp.sunrise.ch;hc.esirnus.pbp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;pbp.sunrise.ch;hc.esirnus.pbp;;;;
BcAuthWhitelist;1551799341;unknown;Add;pbp.sunrise.ch;hc.esirnus.pbp;;;;
BcNoSSLIntercept;1551799341;unknown;Add;pbp.sunrise.ch;hc.esirnus.pbp;;;;
BcAuthWhitelist2;1551799275;unknown;Add;exense.ch;hc.esnexe;;;;
BcAuthWhitelist2;1551799275;unknown;Add;abuse.ch;hc.esuba;;;;
BcPostWhitelist;1551799275;unknown;Add;postfinance.swissquote.ch;hc.etouqssiws.ecnaniftsop;;;;
BcJavaWhitelist;1551799275;unknown;Add;postfinance.swissquote.ch;hc.etouqssiws.ecnaniftsop;;;;
BcAuthWhitelist2;1551799275;unknown;Add;postfinance.swissquote.ch;hc.etouqssiws.ecnaniftsop;;;;
BcPostWhitelist;1551799341;unknown;Add;postfinance.swissquote.ch;hc.etouqssiws.ecnaniftsop;;;;
