date,time,duration,in_bytes,out_bytes
2018-02-15,06:58:00,18398.3,821971434,20409758
2018-02-15,06:59:00,12471.4,816912189,23152623
2018-02-15,07:00:00,12968,804260088,24928180
2018-02-15,07:01:00,27813.8,724210911,25042366
2018-02-15,07:02:00,14311.9,653672490,21847907
2018-02-15,07:03:00,13285.5,665126282,23725743
2018-02-15,07:04:00,13586.2,867163587,27203367
2018-02-15,07:05:00,21453.5,685594663,23882748
2018-02-15,07:06:00,11908.6,717029877,25737830
2018-02-15,07:07:00,9677.66,839563581,31475892
2018-02-15,07:08:00,18901.8,702107574,27203646
2018-02-15,07:09:00,16613.5,758629563,29375678
2018-02-15,07:10:00,10779.1,809064383,29587675
2018-02-15,07:11:00,13726.3,637264458,26188857
2018-02-15,07:12:00,16399.5,757362464,27028102
2018-02-15,07:13:00,36964.2,938522094,25933769
2018-02-15,07:14:00,14739.7,821925337,31006737
